Course Title,Labels,Details
The Complete SQL Bootcamp: Go from Zero to Hero,"['Business,Business Analytics & Intelligence,SQL']","['Use SQL to query a database,Use SQL to perform data analysis,Be comfortable putting SQL and PostgreSQL on their resume,Learn to perform GROUP BY statements,Replicate real-world situations and query reports']"
Microsoft Power BI Desktop for Business Intelligence (2023),"['Business,Business Analytics & Intelligence,Data Modeling']","['Build professional-quality business intelligence reports from the ground up,Blend and transform raw data into beautiful interactive dashboards,Design and implement the same tools used by professional analysts and data scientists,Showcase your skills with two full-scale course projects (with step-by-step solutions),Explore powerful artificial intelligence tools and advanced visualization techniques,Learn from a #1 best-selling instructor and professional Power BI developer']"
PMP Exam Prep Seminar - Complete Exam Coverage with 35 PDUs,"['Business,Project Management,PMI PMBOK']","['Earn 35 PDUs/Contact Hours by completing the entire course,You will get all the resources you need to pass the PMI PMP certification exam.,You will earn 35 exam contact hours as required by PMI,You will be able to discuss the PMBOK Guide with confidence.,Explain the project management processes,Discuss the project management knowledge areas,Demonstrate the formulas, charts, and theories of project management,Calculate float for complex project network diagrams,Memorize the formulas for earned value management,Compare and contrast processes, knowledge areas, theories, and project management best practices,Show more']"
Tableau 2022 A-Z: Hands-On Tableau Training for Data Science,"['Business,Business Analytics & Intelligence,Tableau']","['Install Tableau Desktop 2022,Connect Tableau to various Datasets: Excel and CSV files,Create Barcharts,Create Area Charts,Create Maps,Create Scatterplots,Create Piecharts,Create Treemaps,Create Interactive Dashboards,Create Storylines,Understand Types of Joins and how they work,Work with Data Blending in Tableau,Create Table Calculations,Work with Parameters,Create Dual Axis Charts,Create Calculated Fields,Create Calculated Fields in a Blend,Export Results from Tableau into Powerpoint, Word, and other software,Work with Timeseries Data (two methods),Creating Data Extracts in Tableau,Understand Aggregation, Granularity, and Level of Detail,Adding Filters and Quick Filters,Create Data Hierarchies,Adding Actions to Dashboards (filters & highlighting),Assigning Geographical Roles to Data Elements,Advanced Data Preparation (including latest updates in Tableau),Show less']"
Agile Crash Course: Agile Project Management; Agile Delivery,"['Business,Project Management,Project Management']","['You will become Agile certified (you will receive a certificate upon completion).,You will learn the key concepts of Agile Development, Agile Project Delivery and Agile Project Management.,You will learn the meaning of user stories, daily stand-ups, retrospectives and kanban boards.,You will understand the differences between Agile and traditional project delivery (other methodologies).,Tools and tips that you will love.,Value for money. Guaranteed.,A high quality learning experience.,A guide/process to follow.,You will learn to launch products faster.,You will learn to launch apps faster.,You will learn to launch online courses faster.,You will learn to focus on an MVP (Minimum Viable Product).,You will learn about the importance of simplicity.,Show less']"
Communication Fundamentals: How To Communicate Better,"['Business,Communication,Communication Skills']","['Effectively communicate,Communicate with different personalities']"
Leadership: Practical Leadership Skills,"['Business,Management,Leadership']","['Become a Master in Leadership,Be a better boss, and run a highly effective team,Delegate effectively to empower their team,Have a healthy work life balance, with a happy environment,Understand academic theories surrounding leadership styles and techniques,Build a vast array of practical tools to be a fantastic leader,Know the difference between delegating styles and which one is appropriate for each situation,Feel confident enough to involve employees in decision making and planning,Spend more time developing plans and ideas for the future']"
Microsoft Power BI - The Practical Guide [2023 EDITION],"['Business,Business Analytics & Intelligence,Microsoft Power BI']","['At the end of this course students will be able to analyse data from different data sources and create their own datasets,Students will be able to comfortably work with the different tools of the Power BI universe and know how the different tools work together,Students will have the required knowledge to dive deeper into Power BI and find out more about its advanced features']"
Write Better Emails: Tactics for Smarter Team Communication,"['Business,Communication,Communication Skills']","['Improve your email writing skills in simple steps,Learn proper email etiquette and business writing techniques that get you results,Avoid common errors in email messages that confuse people,The #1 Udemy bestselling course about email communication in teams,Improve communication within teams,Save time in writing and responding to emails,Write clear email messages that explain exactly what you want,Get higher response rates from teammates']"
Agile Fundamentals: Including Scrum & Kanban,"['Business,Project Management,Agile']","[""Learn how to get into the Agile mindset and achieve success in helping organizations evolve,Command a strong focus on delivering customer value and exceeding expectations,Master popular Agile frameworks Scrum, Kanban, and Scrumban, enabling you to land and excel in any Agile position,Explore fun, interactive, and highly effective lessons from best-selling instructors,Assist with your organization's current, or future, transformation to Agile""]"
