Course Title,Labels,Details
The Ultimate Drawing Course - Beginner to Advanced,"['Design,Graphic Design & Illustration,Drawing']","['Draw objects out of your head,Draw realistic light and shadow,Understand the fundamentals of art,Draw perspective drawings,Draw the human face and figure']"
Character Art School: Complete Character Drawing,"['Design,Other Design,Character Design']","['How to Draw Characters Well,How to Draw Out of Your Head Fast,How to Draw in 3D,How to Draw Faces, Bodies and Hands,How to Draw Professionally,How to Draw Characters for Games, Films, Animation, Manga, Comics and More,Draw with Pencils and Paper OR Digital Art Tools,Utilize the included 7GB of Free Art Resources']"
Complete Blender Creator: Learn 3D Modelling for Beginners,"['Design,3D & Animation,3D Modeling']","[""Use Blender and understand it's interface,Understand the principles of modelling,Create 3D models with simple colors,Learn the basics of animation,Create your own materials,UV map and unwrap your models,Create animations for your objects & characters""]"
Graphic Design Masterclass - Learn GREAT Design,"['Design,Graphic Design & Illustration,Graphic Design']","['Have a deep understanding of typography, color theory, photos, layout, blocking and other design theory and skills,Understand and learn the essential tools and capabilities of Adobe Photoshop, Illustrator and InDesign,Create logos and branding packages for potential clients,Learn photo editing and manipulation in Adobe Photoshop,Master the pen tool, shape builder tool and other essential vector design tools in Adobe Illustrator.,How to create editorial spreads and magazine layouts using Adobe InDesign,Understand solid logo design and ad design principles to create compelling campaigns and logos,Work through the entire package design process,Show more']"
Design Thinking in 3 Steps,"['Design,User Experience Design,Design Thinking']","[""Apply the design thinking framework to solve problems more creatively,Create prototypes to test your idea early, before making a big investment of time and money,Understand problems from the customer's perspective,Guide groups to effectively brainstorm innovative ideas,Plan and conduct effective design research, including user interviews,Make and use a storyboard to communicate your design ideas,Identify your design research objectives,Make a plan to iterate your idea forward""]"
User Experience Design Essentials - Adobe XD UI UX Design,"['Design,User Experience Design,User Experience Design']","[""Become a UX designer.,You will be able to start earning money from your XD Skills.,You will be able to add UX designer to your CV,Build a UX project from beginning to end.,Become a UI designer.,Build & test a full mobile app.,Build & test a full website design.,You will have a project of your own to add to your portfolio.,93 lectures of well-structured, step by step content.,Learn to design websites & mobile phone apps.,Work with fonts & colors.,Prototype your designs with interactions.,Test on mobile phones.,You'll create realistic prototype complete with micro interactions.,Send your designs for feedback & commenting.,Export production ready assets.,Create your first UX brief & persona.,Create quick wireframes.,How to use premade UI kits.,Learn professional workflow tricks & shortcuts.,You will get the finished files so you never fall behind,Downloadable exercise files,Forum support from me and the rest of the BYOL crew,All the techniques used by UX professionals,Build a mobile app prototype that responses to voice commands.,You will be able to talk correctly with other UX design professionals.,You'll learn how to choose colors.,You'll learn how to pick the correct fonts.,You'll be able to send your finished work to other professionals in the correct formats.,Show less""]"
Illustrator 2022 MasterClass,"['Design,Graphic Design & Illustration,Adobe Illustrator']","['Designing logos,Creating vector illustrations,Turning photographs into vector artwork,Vectorizing and colorizing traced hand drawings,Preparing graphics for web and print,Designing infographics,Working with type in creative ways,Mastering advanced Illustrator tools and techniques,Learn useful keyboard shortcuts and best practices,Practice everything you learn with provided Exercise Files,Test your knowledge with quizzes at the end of each chapter,Learn Illustrator from the start the way a professional would use it,Show less']"
Adobe After Effects: Complete Course from Novice to Expert,"['Design,3D & Animation,After Effects']","['Dive deep into After Effects CC - experience an engaging, hands-on learning journey.,Unleash your creativity with over 50 interactive activities and projects, ranging from beginner to advanced levels.,Discover how to craft compelling Motion Graphics that enrich your videos, following a clear, user-friendly method.,Apply advanced compositing techniques to create breathtaking video effects.,Grasp specialized visual effects techniques such as Motion Tracking, Camera Tracking, Chroma keying, Rotoscoping, Stabilizing, and more.,Conquer Visual Time Effects to revolutionize your Videos and Motion Graphics.,Immerse yourself in a 3D workspace, mastering Cameras, Lights, Shadows, and 3D Motion Graphics Projects.,Learn to import and animate Illustrator Vector Graphics seamlessly.,Explore the art of advanced Text Animation in both 2D & 3D – exclusive techniques available only in After Effects.,Stay ahead of the curve with the latest Responsive Design Techniques.,And so much more, setting you on the path to becoming an accomplished expert in Motion Graphics, Visual Effects, and Compositing.,Show less']"
Adobe Photoshop CC – Essentials Training Course,"['Design,Graphic Design & Illustration,Photoshop']","[""You will be able to start earning money from your Photoshop Skills.,You will be able to add Photoshop to your CV,You will have over 20 of your own projects to add to your portfolio.,You will create social media post images for Facebook, Instagram, Twitter, Pintrest & Youtube.,You will be able to mask anything… including the dreaded hair!,Clearcut images.,Create amazing typography.,You will create popular visual styles.,You will create distorted images.,You will create graphics from scratch.,You will retouch photographs like a professional.,You will create a postcard.,Create posters.,Create advertising.,Resize Images.,Build a flyer.,Change the color or images.,Fix the colors in photographs,You will change eye & hair colors.,You will combine 2 photographs to create amazing compositions.,You will put a storm in a tea cup.,You will create text that looks like stone.,You will build a logo with type that wraps around it like a badge.,You will create text that wraps around a woman.,You will build a multipage banner advertising project.,You will create more background in an image from thin air.,You will remove people from images.,You will remove graffiti from a wall.,You will clear cut images of people, shoes & other products.,You will create realistic shadows,You will create text the wraps around colored smoke.,You will build duotone images like the Spotify effect,You will create images with an anaglyph effect,You'll turn your images into realistic oil paintings,You'll know how to add halftone effects to your images.,You will bend images to reveal background images.,You will distort a logo to bend around real life photographs and objects.,You retouch an overweight person to make the appear slim.,You'll build spray paint style graffiti using brushes.,You'll make a galaxy appear out of a mans head.,Create paper cut effects inside of a font.,Build text with 3D paint dripping from it.,You'll retouch a face to move pimples & freckles.,You'll remove dust & scratches from an old photograph.,Change yellow teeth to white teeth.,You'll build a fantasy image where you put an island, ocean & clouds inside a small bottle.,Show less""]"
Ultimate Adobe Photoshop Training: From Beginner to Pro,"['Design,Graphic Design & Illustration,Photoshop']","['Design icons, business cards, illustrations, and characters,Clean up face imperfections, improve and repair photos,Use creative effects to design stunning text styles,Remove people or objects from photos,Cut away a person from their background,Master selections, layers, and working with the layers panel']"
