Course Title,Labels,Details
The Complete Python Bootcamp From Zero to Hero in Python,"['Development,Programming Languages,Python']","['You will learn how to leverage the power of Python to solve tasks.,You will build games and programs that use Python libraries.,You will be able to use Python for your own work problems or personal projects.,You will create a portfolio of Python based projects you can share.,Learn to use Python professionally, learning both Python 2 and Python 3!,Create games with Python, like Tic Tac Toe and Blackjack!,Learn advanced Python features, like the collections module and how to work with timestamps!,Learn to use Object Oriented Programming with classes!,Understand complex topics, like decorators.,Understand how to use both the Jupyter Notebook and create .py files,Get an understanding of how to create GUIs in the Jupyter Notebook system!,Build a complete understanding of Python from the ground up!,Show less']"
The Complete 2023 Web Development Bootcamp,"['Development,Web Development,Web Development']","['Build 16 web development projects for your portfolio, ready to apply for junior developer jobs.,Learn the latest technologies, including Javascript, React, Node and even Web3 development.,After the course you will be able to build ANY website you want.,Build fully-fledged websites and web apps for your startup or business.,Work as a freelance web developer.,Master frontend development with React,Master backend development with Node,Learn professional developer best practices.']"
The Web Developer Bootcamp 2023,"['Development,Web Development,Web Development']","['The ins and outs of HTML5, CSS3, and Modern JavaScript for 2021,Make REAL web applications using cutting-edge technologies,Create responsive, accessible, and beautiful layouts,Recognize and prevent common security exploits like SQL-Injection & XSS,Continue to learn and grow as a developer, long after the course ends,Create a blog application from scratch using Node, Express, and MongoDB.,Create a complicated yelp-like application from scratch,Deploy your applications and work with cloud databases,Create static HTML and CSS portfolio sites and landing pages,Think like a developer. Become an expert at Googling code questions!,Create complex HTML forms with validations,Implement full authentication from scratch!,Use CSS Frameworks including Bootstrap 5, Semantic UI, and Bulma,Implement responsive navbars on websites,Use JavaScript variables, conditionals, loops, functions, arrays, and objects,Write Javascript functions, and understand scope and higher order functions,Master the ""weird"" parts of JavaScript,Create full-stack web applications from scratch,Manipulate the DOM with vanilla JS,Write JavaScript based browser games,Use Postman to monitor and test APIs,Use NodeJS to write server-side JavaScript,Write complex web apps with multiple models and data associations,Write a REAL application using everything in the course,Use Express and MongoDB to create full-stack JS applications,Use common JS data structures like Arrays and Objects,Master the command line interface,Use NPM to install all sorts of useful packages,Understand the ins and outs of HTTP requests,Create your own Node modules,Make a beautiful, responsive photographer\'s portfolio page,Create a beautiful, responsive landing page for a startup,Implement user authentication,Create a beautiful animated todo list application,Create single page applications with AJAX,Show less']"
100 Days of Code: The Complete Python Pro Bootcamp for 2023,"['Development,Programming Languages,Python']","['You will master the Python programming language by building 100 unique projects over 100 days.,You will learn automation, game, app and web development, data science and machine learning all using Python.,You will be able to program in Python professionally,You will learn Selenium, Beautiful Soup, Request, Flask, Pandas, NumPy, Scikit Learn, Plotly, and Matplotlib.,Create a portfolio of 100 Python projects to apply for developer jobs,Be able to build fully fledged websites and web apps with Python,Be able to use Python for data science and machine learning,Build games like Blackjack, Pong and Snake using Python,Build GUIs and Desktop applications with Python']"
React - The Complete Guide 2023 (incl. React Router & Redux),"['Development,Programming Languages,React JS']","[""Learn React from the ground up and finish the course as an advanced React developer,Build multiple high-quality demo apps, including a fullstack app built with NextJS,Join more than 750,000 students in this course & more than 2,500,000 students I taught across all my courses,Build multiple demo projects & explore realistic examples,Follow along locally or in a cloud development environment,Learn all about React Hooks and React Components,Manage complex state efficiently with React's Context API & React Redux,Build standalone React apps & applications connected to a backend via HTTP,Learn about routing & route-related data fetching with React Router,Implement user authentication in React apps,Build fullstack React apps with NextJS,Get started with React Unit Testing,Show less""]"
Angular - The Complete Guide (2023 Edition),"['Development,Web Development,Angular']","['Develop modern, complex, responsive and scalable web applications with Angular,Fully understand the architecture behind an Angular application and how to use it,Use the gained, deep understanding of the Angular fundamentals to quickly establish yourself as a frontend developer,Create single-page applications with one of the most modern JavaScript frameworks out there']"
Java Programming Masterclass updated to Java 17,"['Development,Programming Languages,Java']","['Learn the core Java skills needed to apply for Java developer positions in just 14 hours.,Be able to sit for and pass the Oracle Java Certificate exam if you choose.,Be able to demonstrate your understanding of Java to future employers.,Learn industry ""best practices"" in Java software development from a professional Java developer who has worked in the language for 18 years.,Acquire essential java basics for transitioning to the Spring Framework, Java EE, Android development and more.,Obtain proficiency in Java 8 and Java 11.']"
The Complete JavaScript Course 2023: From Zero to Expert!,"['Development,Web Development,JavaScript']","[""Become an advanced, confident, and modern JavaScript developer from scratch,Build 6 beautiful real-world projects for your portfolio (not boring toy apps),Become job-ready by understanding how JavaScript really works behind the scenes,How to think and work like a developer: problem-solving, researching, workflows,JavaScript fundamentals: variables, if/else, operators, boolean logic, functions, arrays, objects, loops, strings, etc.,Modern ES6+ from the beginning: arrow functions, destructuring, spread operator, optional chaining (ES2020), etc.,Modern OOP: Classes, constructors, prototypal inheritance, encapsulation, etc.,Complex concepts like the 'this' keyword, higher-order functions, closures, etc.,Asynchronous JavaScript: Event loop, promises, async/await, AJAX calls and APIs,How to architect your code using flowcharts and common patterns,Modern tools for 2022 and beyond: NPM, Parcel, Babel and ES6 modules,Practice your skills with 50+ challenges and assignments (solutions included),Get fast and friendly support in the Q&A area,Course pathways: design your unique learning path according to your goals!,Show less""]"
"Machine Learning A-Z™: AI, Python & R + ChatGPT Bonus [2023]","['Development,Data Science,Python']","['Master Machine Learning on Python & R,Have a great intuition of many Machine Learning models,Make accurate predictions,Make powerful analysis,Make robust Machine Learning models,Create strong added value to your business,Use Machine Learning for personal purpose,Handle specific topics like Reinforcement Learning, NLP and Deep Learning,Handle advanced techniques like Dimensionality Reduction,Know which Machine Learning model to choose for each type of problem,Build an army of powerful Machine Learning models and know how to combine them to solve any problem,Show less']"
Python for Data Science and Machine Learning Bootcamp,"['Development,Data Science,Python']","['Use Python for Data Science and Machine Learning,Use Spark for Big Data Analysis,Implement Machine Learning Algorithms,Learn to use NumPy for Numerical Data,Learn to use Pandas for Data Analysis,Learn to use Matplotlib for Python Plotting,Learn to use Seaborn for statistical plots,Use Plotly for interactive dynamic visualizations,Use SciKit-Learn for Machine Learning Tasks,K-Means Clustering,Logistic Regression,Linear Regression,Random Forest and Decision Trees,Natural Language Processing and Spam Filters,Neural Networks,Support Vector Machines,Show less']"
