Course Title,Labels,Details
The Complete Financial Analyst Course 2023,"['Finance & Accounting,Financial Modeling & Analysis,Financial Analysis']","['Work comfortably with Microsoft Excel,Format spreadsheets professionally,Perform routine tasks quicker,Create professional charts in Microsoft Excel,Efficiently work with vast amounts of data,Understand accounting and bookkeeping principles,Build a company’s P&L from scratch,Create a company’s balance sheet,Perform Financial statement analysis,Understand the timing of revenue and cost recognition,Calculate liquidity, solvency, profitability, and growth ratios to analyze a company’s performance,Understand 10-K reports,Assess whether a project is feasible via the net present value (NPV) technique,Calculate a complete loan schedule,Know the difference between variable and fixed interest rates,Perform industry analysis,Realize what drives a company’s value,Know how to analyze a business,Work comfortably with Microsoft PowerPoint,Create professional company presentations in PowerPoint,Become a successful Financial Analyst – if you follow the course entirely!,Show less']"
The Complete Foundation Stock Trading Course,"['Finance & Accounting,Investing & Trading,Stock Trading']","[""Completely understand how the stock market works.,Know the process that a company goes through to become a Publicly Traded Company.,Know the history of the Stock Market and it's Evolution.,Master Technical Analysis: Candlestick Patterns, Chart Patters, Volume and Technical Indicators.,Filter out the noise, get to know what our traders use and how they think. Get insight from a professional trader's standpoint.,How to send Orders and different Order Types.,Different Exchanges: NYSE, NASDAQ & AMEX.,Risk Management: how to reduce losses and manage overall portfolio risk.,Money Management: how to manage risk on each position, how many shares to buy, and where to take a loss.,How to short sell so you can make money if the market goes down.,Trading Psychology: become an Expert in human Emotions and the different Biases that affect people when Money is involved.,Show less""]"
Beginner to Pro in Excel: Financial Modeling and Valuation,"['Finance & Accounting,Financial Modeling & Analysis,Financial Modeling']","['Master Microsoft Excel and its advanced features,Become a top Excel users on your team,Execute regular tasks quicker,Build P&L statements from a raw data extraction,Acquire financial modeling skills,Learn how to value a company,Build valuation models from scratch,Create models with multiple scenarios,Design professional advanced charts,Become a proficient user with Excel functions, pivot tables, visualizations, and advanced features']"
Blockchain and Bitcoin Fundamentals,"['IT & Software,Other IT & Software,Bitcoin']","['Have a strong understanding of what blockchain technology is.,Understand what Bitcoin is and how it works.,Know and use key vocabulary and concepts commonly used when discussing blockchain and Bitcoin in business situations.']"
Investing In Stocks The Complete Course! (17+ Hours),"['Finance & Accounting,Investing & Trading,Stock Trading']","['Have complete understanding and confidence when investing in the Stock Market.,Apply best practices and techniques to make better stock choices.,Use Basic & Advanced Stock Screeners so you can narrow the choices to the best stocks for you.,Use Qualitative Research and Quantitative Ratios in an easy to use manner. No calculations are required and will be shown where to find information for free.,Apply key stock investing strategies such as investing in Dividend Paying Stocks, Growth Stocks, Value Stocks, Stocks that have future Growth At A Reasonable Price (GARP) and more.,Determine whether an Online Discount Broker, Full-Service Broker, Financial Planner, Robo-Financial Planner or other service to place stock orders is right for them.,Place actual orders such as Market Orders, Stops Loss Order, Limit Orders, etc...,Determine how risky or volatile a Stock, Mutual Fund, or Exchange Traded Fund (ETF) using established metrics such as Standard Deviation and Beta and how to find the information so no calculations are required.,Pick Individual Stocks, Stock Mutual Funds, and Exchange Traded Funds for their investment portfolio.']"
The Complete Investment Banking Course 2023,"['Finance & Accounting,Financial Modeling & Analysis,Investment Banking']","['Start a career in Investment Banking or Private Equity,Pass investment banking interviews,Build financial models from scratch (shown step-by-step),Build valuation models – DCF, LBO and multiples,Have solid financial and business acumen,Take your career to the next level!,Tell the story of how investment banking services first appeared,Understand the difference between investment and commercial banking,Explain the mechanics of an Initial Public Offering,Understand how pricing is determined in an IPO,Draw an IPO timetable,Understand why companies go public,Explain the mechanics of a bond offering,Understand how pricing is determined in a bond offering,Draw a bond offering timetable,Understand why companies raise public debt,Explain loan syndication and who participates in the syndicate,Understand securitization and explain why banks use securitization,Learn why companies buy other companies,Identify successful M&A transactions,Explain the deal lifecycle,Tell the difference between Financial and Corporate buyers,Describe the different payment options in an M&A deal,Understand the essence of restructuring services,Learn about the different ways to restructure a company,Become familiar with trading and brokerage and the securities traded on Financial Markets,Understand asset management services,Be able to describe asset management vehicles and expected rates of return,Calculate a company’s cost of debt, cost of equity, and WACC,Perform LBO valuation,Understand the rationale behind Leveraged Buyout deals,Be able to tell who carries out LBO deals and why they can be very profitable,After this course, you will have the skills to start a successful career in Investment Banking and Corporate Finance,Show less']"
The Complete Financial Analyst Training & Investing Course,"['Finance & Accounting,Investing & Trading,Financial Analysis']","[""22+ hour complete financial analyst course!,#1 Best Selling Investing Course on Udemy!,How to pick stocks.,Become an expert in Excel for financial analysts (no prior Excel knowledge is required).,How to manage a portfolio.,How an IPO works.,How to build financial models.,How to get hired and promoted as a financial analyst.,How risk management works.,How to use technical analysis.,How to value companies.,Use and create Excel based templates developed by Chris to help you create financial statements from scratch (meaning income statements, balance sheets, cash flow statements and more).,Use and create Excel based templates developed by Chris to help you value companies using several different valuation methodologies, including P/E, P/R and Discounted Cash Flow (DCF).,Use and create Excel based templates developed by Chris to help you manage a portfolio.,How Monetary Policy works.,How Fiscal Policy works.,How interest rates are changed and why this is crucial to understand for successful financial analysts.,How to pitch long and short ideas to portfolio managers.,How to find great venture capital investment ideas.,How to come up with mutual fund investment ideas (longs - meaning buys) using an easy to understand top down and bottoms up research process.,How to come up with hedge fund investment ideas (longs and shorts) using an easy to understand top down and bottoms up research process.,Identify crucial catalysts (timed events) in order to know when the optimal time is to buy or short a stock.,Understand how investment banks (the 'Sell Side') can help you be more successful in a hedge fund or mutual fund career.,Analyze and understand an income statement (even if you have no experience with income statements).,Analyze and understand a balance sheet (even if you have no experience with balance sheets).,Analyze and understand a cash flow statement (even if you have no experience with cash flow statements).,Understand and use modeling best practices so you can create financial models.,Know where to get data in order to build a financial model (in depth understanding of identifying and using/navigating the best free websites and sources to build your financial model)!,Create a financial model (projecting the future) for an income statement.,Other valuation methodologies, including EV/Sales, EV/EBITDA, P/B, EV/FCF, etc.,Create a financial model (projecting the future) for a balance sheet.,Create a financial model (projecting the future) for a cash flow statement.,Understand valuation best practices so you can create target prices based on your financial models.,How to use Discounted Cash Flow (DCF) and how to create the Weighted Average Cost of Capital and Terminal values in order to pick target prices.,How to use P/E in order to pick target prices.,How to use P/R in order to pick target prices.,Come up with a target price based on an average of several different valuation methodologies.,Learn about 14 different Financial Analyst jobs and how they overlap and work together (including Investment Banking, Venture Capital, Private Equity, Private Wealth Management etc.).,Investment Banking: Understand from a high level perspective what an Investment Bank is as well as what the role/job is of an Investment Banking Financial Analyst, including the pros and cons.,Venture Capital: Understand from a high level perspective what a Venture Capital firm is as well as what the role/job is of a Venture Capital Financial Analyst, including the pros and cons.,Private Equity: Understand from a high level perspective what a Private Equity firm is as well as what the role/job is of a Private Equity Financial Analyst, including the pros and cons.,Private Wealth Management: Understand from a high level perspective what a Private Wealth Management firm is as well as what the role/job is of a Private Wealth Management Financial Analyst, including the pros and cons.,Sell Side Research Analyst: Understand from a high level perspective what a Sell Side Research Analyst’s firm is as well as what the role/job is of a Sell Side Research Financial Analyst, including the pros and cons.,Sales Trader: Understand from a high level perspective what a Sales Trader’s firm is as well as what the role/job is of a Sales Trader Financial Analyst, including the pros and cons.,Buy Side Trader: Understand from a high level perspective what a Buy Side Trader’s firm is as well as what the role/job is of a Buy Side Trader Financial Analyst, including the pros and cons.,Mutual Fund: Understand from a high level perspective what a Mutual Fund is as well as what the role/job is of a Mutual Fund Financial Analyst, including the pros and cons.,Sell Side Trader: Understand from a high level perspective what a Sell Side Trader’s firm is as well as what the role/job is of a Sell Side Trader Financial Analyst, including the pros and cons.,Large Non Finance Company: Understand from a high level perspective what a Large Non Finance Company firm is as well as what the role/job is of a Large Non Finance Company Financial Analyst, including the pros and cons.,Equity Capital Markets: Understand from a high level perspective what an Equity Capital Markets’ firm is as well as what the role/job is of a Equity Capital Markets Financial Analyst, including the pros and cons.,Hedge Fund: Understand from a high level perspective what a Hedge Fund is as well as what the role/job is of a Hedge Fund Financial Analyst, including the pros and cons.,Equity Sales: Understand from a high level perspective what an Equity Sales’ firm is as well as what the role/job is of an Equity Sales Financial Analyst, including the pros and cons.,Tech / Artificial Intelligence: Understand from a high level perspective what a Tech / Artificial Intelligence’s firm is as well as what the role/job is of a Tech / Artificial Intelligence Financial Analyst, including the pros and cons.,Learn what finance role you are most passionate about pursuing.,Show less""]"
"Introduction to Finance, Accounting, Modeling and Valuation","['Finance & Accounting,Accounting & Bookkeeping,Accounting']","['#1 Best Selling Accounting Course on Udemy (Learn Finance and Accounting the Easy Way)!,Analyze and understand an income statement (even if you have no experience with income statements).,Analyze and understand a balance sheet (even if you have no experience with balance sheets).,Analyze and understand a cash flow statement (even if you have no experience with cash flow statements).,Understand and use modeling best practices so you can create financial models.,Know where to get data in order to build a financial model (in depth understanding of identifying and using/navigating the best free websites and sources to build your financial model)!,Create a financial model (projecting the future) for an income statement.,Create a financial model (projecting the future) for a balance sheet.,Create a financial model (projecting the future) for a cash flow statement.,Understand valuation best practices so you can create target prices based on your financial models.,How to use Discounted Cash Flow (DCF) and how to create the Weighted Average Cost of Capital and Terminal values in order to pick target prices.,How to use P/E in order to pick target prices.,How to use P/R in order to pick target prices.,Other valuation methodologies, including EV/Sales, EV/EBITDA, P/B, EV/FCF, etc.,Come up with a target price based on an average of several different valuation methodologies.,Analyze the total addressable market for a company you are doing research on.,Analyze financial statements using profitability ratios: Gross Margin (Cost of Goods Sold / Revenue), Operating Margin (EBITDA/ Revenue), Net Profit Margin (Net Income / Revenue), Return on Assets (Net Income / Assets) and Return on Equity (Net Income / Equity).,Analyze financial statements using debt and inventory formulas: Debt to Assets (Total Liabilities/ Total Assets), Debt to Equity (Total Liabilities/ Total Equity), Interest Coverage Ratio (EBITDA / Interest) and Inventory Days on Hand (Inventory / Cost of Good Sold) * 365.,Analyze and compare companies using the following formulas: Price / Earnings, PEG (P/E / Growth), Price / Revenue, EV/EBITDA, EV/Sales, Price/Free Cash Flow and Price / Book.,We will do an extremely in depth professional accounting, finance, modeling and valuation analysis of LinkedIn using the accounting and finance methodologies used in this course (you will also have many exercises to complete that will help you understand accounting, finance, valuation and modeling).,Show less']"
Python for Finance: Investment Fundamentals & Data Analytics,"['Finance & Accounting,Financial Modeling & Analysis,Python']","['Learn how to code in Python,Take your career to the next level,Work with Python’s conditional statements, functions, sequences, and loops,Work with scientific packages, like NumPy,Understand how to use the data analysis toolkit, Pandas,Plot graphs with Matplotlib,Use Python to solve real-world tasks,Get a job as a data scientist with Python,Acquire solid financial acumen,Carry out in-depth investment analysis,Build investment portfolios,Calculate risk and return of individual securities,Calculate risk and return of investment portfolios,Apply best practices when working with financial data,Use univariate and multivariate regression analysis,Understand the Capital Asset Pricing Model,Compare securities in terms of their Sharpe ratio,Perform Monte Carlo simulations,Learn how to price options by applying the Black Scholes formula,Be comfortable applying for a developer job in a financial institution,Show less']"
Forex Trading A-Z™ - With LIVE Examples of Forex Trading,"['Finance & Accounting,Investing & Trading,Forex Trading']","['Have a full understanding of how the Forex Market operates,Tell the difference between Base & Quoted currencies,Select a Forex Broker for your account,Understand what short selling is and the mechanics behind it,Understand what leverage is and how it affects your trading,Know Forex terminology like Ask, Bid, Spread, Equity, etc.,Tell the difference between a Pip and a Point,Use all types of orders: Buy / Sell / Buystop / Sellstop / Buylimit / Selllimit,You will learn the three types of Forex Analysis: Fundamental, Technical and Sentiment,Be able to read the calendar of economic events,By the end of this course you will have a substantial arsenal of technical analysis techniques,You will learn how to install and use the MetaTrader 4 trading platform,You will know the basics of calculating and managing risks when trading Forex,You will get an insanely discounted Bonus coupon for my next course,Show less']"
