Course Title,Labels,Details
"Reiki Level I, II and Master/Teacher Certification","['Lifestyle,Esoteric Practices,Reiki']","['Learn how to use Reiki as a healing and personal growth system,Understand the history of Reikiand how it has changed over time,Perform Reiki sessions with the intention of addressing all areas of life,Learn how to visualize the locations of the meridian and chakra energy systems in the body,Guided through techniques to help you access your intuition,Learn how to perform complete Reiki sessions on yourself and others,Explore multiple methods for performing Reiki from a distance,Heal unwanted patterns and learn how to manifest your goals,Practice using the Reiki symbols for power, release, transcending time/space and to connect with your insightful self,Receive advanced techniques such as psychic surgery, meeting your Reiki Guides and accessing different levels of consciousness,You will learn and experience the benefits of regular meditation,Receive Level I, II and Master distance attunements from your Reiki Master,Learn how to administer all attunements to students.,Show less']"
"Reiki Level I, II and Master Certification - Energy Healing","['Lifestyle,Esoteric Practices,Energy Healing']","[""Obtain accredited Usui Reiki 1, 2 and Master Certificates,Receive a Distance Attunement Ceremony for Levels 1, 2 and Master,Learn how to start a Reiki business and get insured,Learn how to use Reiki to heal yourself and others,Send healing via distance to loved ones and clients,Perform healing sessions on pets and animals,Obtain the skills for Level 1, Level 2 and Reiki Master status,Understand the healing benefits Reiki has in all areas of your life,Understand Reiki's origins and history,Align yourself with the 5 Reiki principles,Develop your ability to feel & send Reiki,How to attune and centre yourself with the Universal Life Force Energy,Explore and understand Chakras for people and animals,How to scan yourself and others to feel for energy disturbances,Learn how to visualise and send loving intentions,Learn how to activate powerful Reiki symbols within your attunees,How to prepare and protect yourself when attuning and healing others,Understand how crystals can help enhance Reiki healing,Help those around you, including animals and even the environment, heal and grow,See yourself as the divine soul you truly are,Show less""]"
The Art & Science of Drawing / BASIC SKILLS,"['Lifestyle,Arts & Crafts,Drawing']","['How to draw any shape.,How to observe and analyze any subject.,How to draw any form by breaking it down into basic shapes before adding dark lines.,How to use light lines and basic shapes to lay an accurate foundation for finished drawings.,How to hold the pencil.,How to bring your drawings to life with detail and texture.']"
Tarot Card Success - The Complete Tarot Reading Course,"['Lifestyle,Esoteric Practices,Tarot Reading']","['Give ACCURATE Psychic Readings with the Tarot like a Professional Tarot Reader,Use the Tarot to Rapidly Improve your Love Life, Finances, and Career,Learn all 78 Cards and Master Basic and More Detailed Spreads to Read Like a Professional,Get FEEDBACK on Your Tarot Interpretations for more confidence,Identify what spiritual lessons you need to master to improve your life,Know the best way to consult the tarot for important decisions,Undertand how to use the tarot to heal any challenge in your life']"
iGNLP™ Certified NLP Practitioner (Associate),"['Lifestyle,Other Lifestyle,Neuro-Linguistic Programming']","[""Apply for membership with the iGNLP™ the International Guild for NLP or the ABNLP as an NLP Practitioner (Associate level),NLP Certification 100% online - Study in your own time, at your own pace, with a via our community.,Learn how to increase your status amongst your friends, improve your self-esteem and be the person people look up to as, smart, and talented. 100% guaranteed!,Learn the secret set of tools that as a coach will set you apart from other coaches and put your coaching in a completely different league,Learn the secret to performing exceptionally in life that all of the hugely successful entrepreneurs know and keep to themselves,Why is it everything they touch turns to gold? Discover why some people seem to be blessed with a 'lucky' gene and how you can uncover your very own,Discover and learn the full internationally agreed NLP syllabus from an independently certified NLP Trainer, in a course that represents real value.,Finally remove limiting beliefs you have about yourself and you capabilities that have been holding you back so that you can begin to achieve great things.,Consistently produce your best work, attitude, and behaviour so that you can operate at your best at all times.,Who doesn't like 'being the go to person' ? - Stand out from your peers and become someone to look up to as you achieve whatever you desire in life.,Life is ticking away with every second. Discover the concrete steps to ensuring that you get what you want in life and stand out from the crowd.,Successful people are not like the Grinch who trod on an electrical plug. Learn how to always be 'You on a really really good day'.,Imagine the feeling of being truly respected - Become admired, respected praised by others for your insights, wisdom and strength.,Destroy negative feelings, thoughts and behaviour, so that you can operate and perform like a true winner.,Learn how your brain processes data and creates behaviours so that you can craft the mindset that will help you in life.,Learn the secret to understanding strategies and learn how to design strategies that deliver real results.,Heighten your senses, learn the power of your intuition and learn to trust your unconscious mind so that success comes on autopilot.,Sick of life being a rollercoaster? - Get rid of the ups and downs in your life and live consistently so you can remain balanced and focused at all times.,Show less""]"
Crystal Reiki Master/Teacher Certification,"['Lifestyle,Esoteric Practices,Reiki']","['You will learn how Crystal Reiki sets itself apart from Traditional Reiki as well as general crystal healing.,You will explore how crystals are formed and how those factors influence the energetic properties of the crystal.,You will learn how crystals have been used for healing since the dawn of ancient civilization.,In this activity you will determine what aspects of your body and life you would like Crystal Reiki to help you with.,You will learn how the different classes of crystal structures have similar metaphysical properties and how you can use crystals within each class.,You will learn how you can choose the most suitable crystals for your Crystal Reiki sessions.,You will familiarize yourself with crystals that contain toxic elements and how they can be handled.,You will learn about how the color of a crystal can be related to its uses in your Crystal Reiki sessions.,You will know how you can cleanse your crystals and which methods to avoid using with specific crystals.,You will explore various ways to store your crystals to ensure they remain in pristine condition.,You will learn various ways to charge your crystals.,You will learn about the benefits of programming your crystals and how to do so.,You will learn about the importance of client relations and how you need to refrain from diagnosing and prescribing in your Crystal Reiki sessions.,You will explore ways you can prepare for your Crystal Reiki session including how you select and place your crystals.,You will learn how to perform Crystal Reiki self-treatments.,You will learn how to perform a Crystal Reiki session with others.,You will learn how to incorporate crystals into your Reiki Principles meditation.,You will learn about the eight sacred Crystal Reiki symbols and the properties they are associated with. You will learn how the Crystal Reiki symbols can be used as a foundation for your crystal layouts in your Crystal Reiki sessions.,You will learn how to construct a Crystal Reiki grid for your Crystal Reiki sessions.,You will learn how to select crystals for your Crystal Reiki grids.,You will learn about additional elements you can add to your Crystal Reiki grids.,You will explore various considerations of teaching Crystal Reiki as well as review a sample course outline.,You will learn how to perform Crystal Reiki attunements.,You will learn how to perform Crystal Reiki sessions with a focus on the chakras as placements for your crystals when working with various intentions.,You will learn how to assess the energy in your home and how to use Crystal Reiki to address any energetic imbalances.,You will learn ways you can perform Crystal Reiki with animals.,You will learn about crystals you can use in your Crystal Reiki sessions to enhance feelings of safety and peace.,You will explore various Crystal Reiki grids you can use when working with specific intentions and imbalances.,Show less']"
Animal Reiki Practitioner Certification,"['Lifestyle,Esoteric Practices,Animal Reiki']","['Perform Reiki sessions on domestic and large animals in person and from a distance.,Communicate more effectively with animals,Perform Reiki sessions on self,Connect with their intuition using various techniques']"
EFT & TFT Tapping Practitioner Certification (ACCREDITED),"['Lifestyle,Other Lifestyle,EFT (Emotional Freedom Techniques)']","['Discover the fascinating subject of the EFT & TFT tapping therapies and apply it at a Practitioner level,Help others to rid themselves of negative and disempowering emotions,Understand how and why EFT & TFT Tapping works,Lessen and alleviate pain in themselves and others through tapping,ADDED BONUS: As an added bonus you are also getting the tapping strategies of one of the latest models of EFT - EFT Energy Tapping - included within the course!,PLUS - There is a full audio version of the program to download and use whenever you wish,PLUS - There is a full and downloadable pdf course workbook to add to your learning experience']"
Your 7 Chakras : The Complete Guide to Your Energy Body,"['Lifestyle,Esoteric Practices,Energy Healing']","['Locate their 7 Chakras in their body,Understand the basic functions, energies, and purpose of each chakra,Be able to diagnose whether each chakra is blocked, healthy, or blown open,Understand the practical steps you need to take to strengthen any one of your chakras,Identify the chakra orientations in both yourself and others,Understand how society and culture affects the 7 chakras']"
How to Draw From Beginner to Master,"['Lifestyle,Arts & Crafts,Drawing']","['You’ll learn the fundamentals of drawing,You’ll learn about materials Like the different pencil lead weights and what each one is best used for,Shading techniques,How to manage line weight,A process and structure to creating a drawing from start to finish, that’s easy for anyone to manage!,How to simplify objects to make them easy to draw!,How to recognize and draw using planes,How to light (and even photograph) a subject to make drawing easier (And how to light a portrait),Different approaches to drawing to see what works best for you,An approach to preliminary shading and how to easily shade to create realism in your drawings!,How to use mistakes to your advantage,How to get more energetic, dynamic drawings and keep them from looking stagnant,A system to draw hands, eyes, portraits and any object imaginable!,How to create and use axis lines to make getting proportions easy,Techniques to draw a viewers attention to desired focal points in your drawings,Visualization and simplification techniques,A quick easy trick to making sure you get perfect values and shading every time!,An easy system for drawing hair,How to draw a portrait from scratch!,Show less']"
