Course Title,Labels,Details
Pianoforall - Incredible New Way To Learn Piano & Keyboard,"['Music,Instruments,Piano']","['Pianoforall will take complete beginners to an intermediate level in a very short space of time,You get to sound like a pro right from the start,You will learn the absolute basic essential techniques that will allow you to play any song in any style - by ear!,You will learn to read sheet music AS you learn to play-by-ear']"
Complete Guitar Lessons System - Beginner to Advanced,"['Music,Instruments,Guitar']","['New to Guitar? This Will be the Only Course You Will Ever Need to Take,Have You Playing the Guitar in the Shortest Amount of Time While Having the Most Fun,Most Logical Step-by-step Method to Play Songs and Master Chords, Scales and Guitar Theory,Exercises That Will Sharpen Your Chord Transitioning, Strumming, Fretting, Picking, and Fingerpicking']"
"Music Theory Comprehensive Complete! (Parts 1, 2, & 3)","['Music,Music Fundamentals,Music Theory']","['Read Music Using Proven Techniques,Understand All the Symbols (Not Only the Notes) of a Music Score,Read, Play, and Count Rhythms Accurately,The elements of the Score,Pitch Names,Pitch Classes,Octaves,The White Keys,The Black Keys (not the band!),Half-Steps and Whole-Steps,Clefs,Intervals,Naming Octaves,Identifying Notes on the Staff,Identifying Notes on the Keyboard,Beat and Beat Divisions,Tempo,Downbeats and Upbeats,Dotted Rhythms,Time Signatures,Ties,Accidentals,Form in Music Notation,Chromatic and Diatonic scales,Ordered Pitch Class Collections,The pattern of a Major Scale,Scale Degrees,Solfege,Writing melodies with major scales,Analyzing melodies,What it means to be ""in key"",Key signatures,How to identify key signatures,Popular song analysis,Building triads (chords),Diatonic chord progressions,Roman numeral analysis,Inversions,Finding chords by formula,The thirds inside of a chord,Finding fifths by finding thirds,Diminished triads,Augmented triads,Chords on the guitar,Full Analysis: Canon in D (Pachabel),Full Analysis: Minuet in G (Bach),7th Chords,Major 7th Chords,Minor 7th Chords,Dominant 7th Chords,Tendency Chords,Using the Circle of Fifths for Songwriting and Composition,Borrowing from Closely Related Keys,Scale Degree Names,Tendency Tones,Compound Meters,Compound Meter Signatures,Reading and Writing Compound Meters,Triplets, dubplets, and Quadruplets,Finding Minor keys by alternations to Major,Patterns in Minor keys,Relative Minor keys,Parallel Minor keys,Minor keys in the Circle of Fifths,Using Minor Keys for Songwriting and Composition,Diatonic Chord Progressions in Minor,The V Chord and Minor and the Leading Tone Problem,Harmonic Minor Scales,Melodic Minor Scales,Show less']"
Music + Audio Production in Logic Pro X - The Complete Guide,"['Music,Music Production,Music Production']","['Learn how to record and edit audio to a professional standard in less time than any other DAW (because Logic Pro is super easy to use).,Consistently produce mixes that sound clear, powerful, and professional by following my step-by-step mixing system using stock plugins.,Write more music and edit more audio in less time by learning the little-known features of Logic Pro that will significantly speed up your workflow.,Spend less time fighting with the DAW and more time focusing on the music.,Discover the quickest and easiest ways to write music in Logic Pro.,Learn how to put together a song in under 120 seconds using Apple Loops and MIDI (even if you don’t know how to write music).,Stay in the creative flow and prevent mistakes from ruining your workflow and inspiration (by avoiding the common pitfalls that most people fall into when producing music in Logic Pro).']"
Music Production in Logic Pro X - The Complete Course!,"['Music,Music Production,Music Production']","['Learn how to set-up and navigate around Logic Pro X so you can learn to use this amazing piece of softare,Import and search Apple Loops to easily help you create you own music,Be able to record and edit MIDI Information easily and Quickly in Logic Pro X,Record your own audio in Logic Pro X,Avoid common pitfalls and mistakes in Music Production which other Logic Pro X users make,Understand mixing and mastering to help you make your songs sound professional,Learn how to build your own track from nothing,Improve your general skills in Music Production']"
"Music Theory for Electronic Music COMPLETE: Parts 1, 2, & 3","['Music,Music Fundamentals,Electronic Music']","['By the end of this course, you will have improved your tracks by understanding how to build chords and melodies that work together.,Understand and apply minor chords,Use the circle of fifths to generate new ideas for your own tracks,Work within minor keys to write compelling melodies and basslines,The Piano Roll editor,Octaves,Using Octaves in Bass Lines,The Black Keys (not the band!),Finding C and Middle C,The Perfect 5th,Finding Fifths,Being ""in key"",The pattern of a key,Moveable Patterns,The major and minor third,Building triads,Chord progressions,What is diatonic?,Finding all the chords in a key,Using roman numerals,Inversions,7th chords,Maj7 and minor 7th chords,Dominant 7th chords,Blues and the 7th chord,Analysis: Shame On Me (Avicii),Minor scales,Relative keys,Minor diatonic chord progressions,Analysis: Ghosts N Stuff (Deadmau5),Changing keys in your track,Analysis: Get Luck (Daft Punk),9th and 13th chords,Suspended Chords,Writing melodies for chord progressions,Writing chord progressions for melodies,Bass lines,Analysis: Windowlicker (Aphex Twin),Modes,How modes work,Producing with Modes,Pentatonic Scales,Chromatic Mediants,Creating music with music theory,Exotic scales,Show less']"
FL Studio 21 - Music Production In FL Studio 21 for Mac & PC,"['Music,Music Software,FL Studio']","['Learn How To Make Music in FL Studio in Just a Day,Learn How To Manage FL Studio Fast,Learn Working with FL Studio in a Quick and Easy Way,If You Want To Learn The Basics of FL Studio,Create Professional Music Productions,How To Create Mixdowns,How To Create Mastering on a Mixed Project']"
Ultimate Beginner Guitar Masterclass,"['Music,Instruments,Guitar']","[""Learn guitar chords that will allow you to play millions of songs,FREE BONUS - 42 page picture chord book included - Learn guitar chords with ease,Learn to choose the right guitar for you,Learn to tune the guitar with ease,Learn all the important guitar strumming patterns,Learn acoustic guitar technique,Learn electric guitar technique,Learn to play lot's of song chord progressions for the acoustic guitar,Learn to play epic electric guitar riffs,Get PDF support to many lessons,Learn tips and tricks and play with ease,Learn to play guitar with more confidence,Learn how to practice guitar properly,Learn and understand guitar gear,Learn how to setup a amp for great tone,Impress friends and family with your fast results,Show less""]"
"Learn to play HARMONICA, the easiest instrument to pick up!","['Music,Instruments,Harmonica']","[""how to play the 12 bar blues, chords, rhythms, tone and chugging,how to breathe properly, use straight and swing rhythms,how to play single notes with pucker and tongue-blocked embouchures,scales, modes and positions, single/double/triple tonguing,how to use major and minor pentatonic scales for improvising and soloing,how to bend notes, use the hands properly, different types of vibratos and tremolos,how to play in the Masters' styles - Sonny Terry, Sonnyboy Williamson etc""]"
Read Music FAST!,"['Music,Music Techniques,Reading Music']","['See a note on a score and play it on the piano straight away,Understand how sight reading works,Name any note on the piano instantly']"
