Course Name,URL
Microsoft Excel - Excel from Beginner to Advanced,https://www.udemy.com/course/microsoft-excel-2013-from-beginner-to-advanced-and-beyond/
Microsoft Excel - Advanced Excel Formulas & Functions,https://www.udemy.com/course/excel-for-analysts/
Microsoft Excel - Data Analysis with Excel Pivot Tables,https://www.udemy.com/course/data-analysis-with-excel-pivot-tables/
Try Udemy Business,https://www.udemy.com/udemy-business/request-demo-mx/?ref=right-rail&locale=en_US
"Microsoft Excel - Data Visualization, Excel Charts & Graphs",https://www.udemy.com/course/advanced-excel-charts-graphs/
Unlock Excel VBA and Excel Macros,https://www.udemy.com/course/excel-vba-and-macros-course/
Microsoft Excel 2023 - From Beginner to Expert in 6 Hours,https://www.udemy.com/course/thebestexcel/
"Excel Essentials: The Complete Excel Series - Level 1, 2 & 3",https://www.udemy.com/course/excel-essentials-the-complete-series-levels-1-2-3/
Master Microsoft Word Beginner to Advanced,https://www.udemy.com/course/microsoft-word-from-beginner-to-advanced-and-beyond/
Master Microsoft Excel Macros and Excel VBA,https://www.udemy.com/course/master-microsoft-excel-macros-and-vba-with-5-simple-projects/
Microsoft Excel: Business Intelligence w/ Power Query & DAX,https://www.udemy.com/course/microsoft-excel-power-query-power-pivot-dax/
Excel Essentials for the Real World (Complete Excel Course),https://www.udemy.com/course/microsoft-excel-essentials/
Microsoft Project ALL: BEGINNER to EXPERT 10 Projects 9 PDU,https://www.udemy.com/course/microsoft-project-tutorial/
"Excel Shortcuts, Excel Tips, Excel Tricks - Excel Skills!",https://www.udemy.com/course/dontgetmadgetskills-excel-shortcuts/
Powerpoint 2016 2019 365 - Master powerpoint presentation,https://www.udemy.com/course/case-study-powerpoint-2013-presentation-slide-by-slide/
Zero to Hero in Microsoft Excel: Complete Excel guide 2023,https://www.udemy.com/course/excel-quick-start-guide-from-beginner-to-expert/
SAP Simplified for Absolute Beginners,https://www.udemy.com/course/sap-simplified-for-absolute-beginners/
Visually Effective Excel Dashboards,https://www.udemy.com/course/excel-dashboards-reports/
Microsoft Excel 2016 for Beginners: Master the Essentials,https://www.udemy.com/course/microsoft-excel-2016-for-beginners/
Microsoft Excel Beginners & Intermediate Excel Training,https://www.udemy.com/course/microsoft-excel-2016-beginners-intermediate-excel-training/
Try Udemy Business,https://www.udemy.com/udemy-business/request-demo-mx/?ref=right-rail&locale=en_US
The Complete ServiceNow System Administrator Course,https://www.udemy.com/course/the-complete-servicenow-system-administrator-course/
Microsoft Access 2016 Master Class: Beginner to Advanced,https://www.udemy.com/course/microsoftaccess/
Mastering Microsoft Teams - Bonus Content (2022),https://www.udemy.com/course/mastering-microsoft-teams/
Microsoft PowerPoint From Beginner to Advanced,https://www.udemy.com/course/microsoft-powerpoint-beginner-to-advanced-x/
PL/SQL by Example - Beginner to Advanced PL/SQL,https://www.udemy.com/course/plsql-by-example/
Master Excel Pivot Tables - Excel 365 and Excel 2019,https://www.udemy.com/course/master-excel-pivot-tables/
Beginner to Pro in PowerPoint: Complete PowerPoint Training,https://www.udemy.com/course/powerpoint-master-class-for-business-and-finance-graduates/
Power Apps - Complete Guide to Microsoft PowerApps,https://www.udemy.com/course/complete-guide-to-microsoft-powerapps-basic-to-advanced/
EXCEL at Work - Complete MS Excel Mastery Beginner to Pro,https://www.udemy.com/course/how-to-use-microsoft-excel-beginning-to-advanced-tutorials/
"Ultimate Microsoft Office; Excel, Word, PowerPoint & Access",https://www.udemy.com/course/microsoft-office-excel-word-access-powerpoint/
"ChatGPT Complete Guide: Learn Midjourney, ChatGPT 4 & More",https://www.udemy.com/course/complete-ai-guide/
SAP ABAP Programming For Beginners - Online Training,https://www.udemy.com/course/sap-abap-programming-for-beginners/
Up and Running with Microsoft Teams,https://www.udemy.com/course/learn-staffhub/
Advanced Excel - Top Excel Tips & Formulas,https://www.udemy.com/course/advanced-excel-tips-formulas/
