Course Title,Labels,Details
Microsoft Excel - Excel from Beginner to Advanced,"['Office Productivity,Microsoft,Excel']","['Master Microsoft Excel from Beginner to Advanced,Build a solid understanding on the Basics of Microsoft Excel,Learn the most common Excel functions used in the Office,Harness the full power of Microsoft Excel by automating your day to day tasks through Macros and VBA,Maintain large sets of Excel data in a list or table,Create dynamic reports by mastering one of the most popular tools, PivotTables,Wow your boss by unlocking dynamic formulas with IF, VLOOKUP, INDEX, MATCH functions and many more,Access to a Professional Trainer with 10+ years of Excel Training']"
Microsoft Excel - Advanced Excel Formulas & Functions,"['Office Productivity,Microsoft,Excel Formulas and Functions']","[""Learn how to THINK like Excel, and write powerful and dynamic Excel formulas from scratch,Automate, streamline, and completely revolutionize your workflow with Excel,Master unique tips & techniques that you won't find in ANY other course, guaranteed,Explore fun, interactive, and highly effective demos from a best-selling Excel instructor,Get LIFETIME access to project files, quizzes, homework exercises, and 1-on-1 expert support,Write advanced conditional, text, date and lookup functions, including XLOOKUP & Dynamic Arrays""]"
Microsoft Excel - Data Analysis with Excel Pivot Tables,"['Office Productivity,Microsoft,Excel']","[""Take your data analysis skills from ZERO to PRO with Excel Pivot Tables,Learn how to use Pivot Tables and Pivot Charts to streamline and absolutely revolutionize your workflow in Excel,Master unique Pivot Table tips, tools and case studies that you won't find in ANY other course, guaranteed,Explore fun, interactive, and highly effective lessons from a best-selling Excel instructor,Get LIFETIME access to project files, quizzes, homework exercises, and 1-on-1 expert support,Test your skills with 10 real-world Pivot Table case studies (weather, shark attacks, wine tastings, burrito ratings, and more!)""]"
"Microsoft Excel - Data Visualization, Excel Charts & Graphs","['Office Productivity,Microsoft,Excel']","[""Understand WHEN, WHY, and HOW to use 20+ chart types in Excel 2016+,Learn advanced Excel tools like automated dashboards, scrolling charts, dynamic formats, and more,Master unique tips, tools and case studies that you won't find in ANY other Excel course, guaranteed,Explore fun, interactive, and highly effective lessons from a best-selling Excel instructor,Get LIFETIME access to project files, quizzes, homework exercises, and 1-on-1 expert support,Build 10+ Excel projects designed to take your data visualization skills to the next level""]"
Unlock Excel VBA and Excel Macros,"['Office Productivity,Microsoft,Excel VBA']","[""Enhance your current Excel files & automate your work with VBA.,Master Excel VBA & Macros,Directly apply the Excel VBA example files included to your own work.,Reduce manual routine tasks to the click of a button.,Make your work-life easier.,Create simple solutions to complex problems by levering Excel functionality with Macros.,Formulas & Excel core functionality can't do everything. Use VBA when you reach a limitation.,Easily adjust VBA code you find online to fit your purpose.""]"
Microsoft Excel 2023 - From Beginner to Expert in 6 Hours,"['Office Productivity,Microsoft,Excel']","[""Learn Microsoft Excel Fast: Excel formulas and functions, Excel shortcuts and tips, Excel charts and graphs, Excel for beginners & intermediate users,Taught by a best-selling Udemy author, Microsoft Certified Educator, Microsoft Office Specialist Expert, & Tenured College Professor,Conditional formatting in Excel, Excel date functions and formatting, Excel templates, Excel for Data Management,Data analysis in Excel, Pivot tables in Excel, Excel for data visualization, Excel data validation, Excel macros,Excel for business analysis, Excel for finance and accounting, Excel for sales and marketing,Excel for budgeting and forecasting, Excel for project management, Excel for inventory management,Excel functions: sum, vlookup, xlookup, if, count, average, concatenate, max, min, round, and more,Excel documentation: learn how to read Excel's documentation so that you are empowered to find answers,Hands-on exercises with solutions, Over 400,000 students taught, Lifetime course access,100% satisfaction guaranteed, Learn at your own pace, This course is tested and proven""]"
"Excel Essentials: The Complete Excel Series - Level 1, 2 & 3","['Office Productivity,Microsoft,Excel']","['By the end of Level 1:,Master all the basics of Excel, even if you\'ve never seen a spreadsheet before!,Build your own spreadsheets from scratch, and actually understand how they work!,You will be able to build your own simple, AND complex formulas (and know what the difference is!), and use some of Excels built in functions.,Do in seconds, what a lot of seasoned users take minutes to do!,Increase your chances of promotion, or a better paying job by understanding the most widely used business software in the world,By the end of Level 2:,Learn To Use Excel Like The Professionals,Get Streets Ahead Of Your Competition,Build Powerful Advanced Excel Projects From Scratch,Create a fully functioning relational database using Excel,Create a simple data entry screen to auto-populate complex templates,Build Gantt charts in Excel for project planing,Expoit Excels built in advanced functions to do things ""regular"" users think are impossible!,By the end of Level 3:,Learn to program in VBA from scratch,Complete routine tasks thousands of times faster! (Yes, see the demo!),Confidently tackle any programming project,Understand coding, and the thought process behind it,Fully automate Excel using Visual Basic for Applications,Fully automate report generation,Program simple ""helper"" solutions,Develop complex full blown applications from scratch,Control other Microsoft applications like Outlook, Word, PowerPoint and even Windows itself!,Create emails and send them automatically!,Create Word documents using VBA code right from Excel!,Create PowerPoint presentations in seconds automatically,Create entire folder directories in Windows automatically!,Show less']"
Master Microsoft Word Beginner to Advanced,"['Office Productivity,Microsoft,Microsoft Word']","['You will learn how to take full advantage of Microsoft Word,Begin with the basics of creating Microsoft Word documents,Various techniques to create dynamic layouts,Preparing documents for printing and exporting,Format documents effectively using Microsoft Word Styles,Control page formatting and flow with sections and page breaks,Create and Manage Table Layouts,Work with Tab Stops to Align Content Properly,Perform Mail Merges to create Mailing Labels and Form Letters,Build and Deliver Word Forms,Manage Templates,Track and Accept/Reject Changes to a Document,Show less']"
Master Microsoft Excel Macros and Excel VBA,"['Office Productivity,Microsoft,Excel Macros']","[""Learn how to automate daily routine tasks within Excel,Learn best practices when creating macros and streamline your VBA code,Determine when it's best to use the Macro Recorder versus VBA,Learn how to write custom VBA Macros to create more robust automation,Learn VBA programming concepts to create dynamic, re-usable code,Complete real world Macro/VBA projects from beginning to end""]"
Microsoft Excel: Business Intelligence w/ Power Query & DAX,"['Office Productivity,Microsoft,Data Modeling']","[""Get up & running with Excel's game changing data modeling & business intelligence tools,Learn how to use Power Query, Power Pivot & DAX to absolutely revolutionize your workflow in Excel,Master unique tips, tools and case studies that you won't find in ANY other course, guaranteed,Explore fun, interactive, and highly effective lessons from a best-selling Excel instructor,Get LIFETIME access to project files, quizzes and homework exercises, and 1-on-1 expert support,Build pro-quality business intelligence solutions to blend and analyze data from multiple sources""]"
Excel Essentials for the Real World (Complete Excel Course),"['Office Productivity,Microsoft,Excel']","[""Master the ESSENTIAL Excel formulas and features to accelerate your career,Learn Excel from scratch or fill in the gaps to become immediately confident,Learn to use Pivot Tables, Pivot Charts, Slicers and Time Lines for Interactive Excel Reports,Hacks and hidden Excel features from a Microsoft MVP with 15+ years of Experience,Explore the potential of Power Query. You'll be surprised at what you achieve with a bit of Power Query knowledge.,Get lifetime access to a proven and state-of-the-art Excel course including challenges, quizzes & exercises,Learn what's new in Excel for Microsoft 365 and how these changes impact the way you use Excel,Updated to include the new FILTER, XLOOKUP, SORT & UNIQUE functions""]"
