Course Title,Labels,Details
Productivity and Time Management for the Overwhelmed,"['Personal Development,Personal Productivity,Time Management']","['Take control of their mindset and energy levels to increase your productivity,Discover why you are not as productive as you could be and develop a plan to improve,Increase  your productivity by implementing new strategies throughout your day,Create a personal plan that fits your personality and style']"
"Time Management Mastery: Do More, Stress Less","['Personal Development,Personal Productivity,Time Management']","[""Discover and apply time-management and productivity strategies, techniques, and hacks,Identify and solve for roadblocks that prevent you from being your most productive self,Use your natural tendencies and traits to your advantage to optimize your time and productivity,Build a personalized productivity system,Use your single trusted system to collect and manage your tasks,Prioritize effectively to make sure you're working on the right things, at the right time,Plan your daily, weekly, and long-term work & goals to save time and reduce stress,Use single-tasking, time blocking, documentation and breaks to more effectively focus on the job""]"
Become a SuperLearner® 2: Learn Speed Reading & Boost Memory,"['Personal Development,Memory & Study Skills,Learning Strategies']","['Learn to read roughly 3 times the speed of an average college graduate, with above-average comprehension and retention,Master the exact same skills that win World Championships in Memorization - skills that can teach you to memorize thousands of data points in order,Learn how to process and internalize information in a highly-effective way, and how to apply this teaching to any skill you wish to learn']"
Life Coaching Certificate Course (Beginner to Intermediate),"['Personal Development,Personal Transformation,Life Coach Training']","[""A time-proven life coaching methodology that’s been practiced on 2000+ people.,Develop an enhanced sense of social awareness and improve your people skills.,Lead people into heightened states of innovation, creativity and personal effectiveness.,The art of making difficult decisions (or how to help others make difficult decisions).,Facilitate change by assisting individuals to break their cycles of ineffective behavior.,Communication that establishes a sense of confidence, trust and rapport with others.,How to coach people in solving their problems and creating growth opportunities.,A life coaching method that inspires change rather than just imparting information.,Expand your client's willingness to take responsibility for their goals and outcomes.,And much, much more.""]"
Productivity Machine: Time Management & Productivity Hacks,"['Personal Development,Personal Productivity,Personal Productivity']","['Students will learn the PROVEN Productivity Machine Methodology to get MORE done in LESS time,The most effective way to manage your time in your personal and professional career,How to set crystal clear goals and develop a step by step plan of execution,How to be productive in every aspect of your life from work, family, friends, health, and hobbies,The best way to hyper focus on your most important task while eliminating any distractions,How to live an extraordinary life doing the things that matter most to you']"
Storytelling to Influence,"['Personal Development,Influence,Storytelling']","[""FIND new stories easily to add impact and emphasis to your message,PRESENT your message clearly,LEAD your audience step-by-step,INSPIRE your loved ones, friends, colleagues,CAPTURE your audience attention,POWER your presentation,INFLUENCE your fans' TRIBE,be CONFIDENT in delivering your message""]"
Customer Service: Soft Skills Fundamentals,"['Personal Development,Career Development,Customer Service']","[""How to take care of yourself while taking care of others,How to really listen to customers, not just hear their problems,How to be personable even when you're not there in person""]"
Critical Thinking Strategies For Better Decisions,"['Personal Development,Career Development,Critical Thinking']","['Explore the concept of critical thinking, its value, and how it works.,Discover what goes into critical thinking to create effective critical thinking.,Determine what stands in the way of critical thinking and how to tear down these barriers.,Master critical thinking by applying its components and processes.,Develop your personal critical thinking action plan.']"
Psychology of Diversity and Unconscious Bias,"['Personal Development,Career Development,Diversity and Inclusion']","['Understand the difference between stereotypes, prejudice, and discrimination.,Identify acts of stereotyping.,Develop the ideal mentality for engaging with an increasingly diverse society.,Implement tested strategies for undermining unconscious biases.']"
Neuro-Linguistic Programming (NLP) Practitioner Certificate,"['Personal Development,Personal Transformation,Neuro-Linguistic Programming']","['The conscious use of language – Milton & Meta model approaches.,Know how the mind works – the processes and the programming.,Take complete control of your thinking with the power of Anchoring.,Become aware of how people communicate, learn, change and develop.,How to formulate a vision for the future that is aligned with your values.,The history, study, structure and healthy presuppositions of NLP.,A process for setting meaningful goals and taking decisive action.,How to develop meaningful rapport with people and earn their trust.,A time-honoured framework for effective coaching and mentoring.,And much, much more (please review the full course curriculum).']"
Stress Management: 40+ easy ways to deal with stress,"['Personal Development,Stress Management,Stress Management']","['Understand the different types of stress,Understand the different types of relief strategies,Apply over 40 different ways to manage your stress']"
Effective Email Communication: Enhancing Your Voice at Work,"['Personal Development,Personal Productivity,Email Writing and Etiquette']","['Understand the nature of email communication,Understand the importance of knowing intended audience,Know appropriate structures for email messages,Know strategies for enhancing,Know strategies for managing email inbox']"
