Course Title,Labels,Details
Photography Masterclass: A Complete Guide to Photography,"['Photography & Video,Photography,Photography']","['You will know how to take amazing photos that impress your family and friends,You will know how the camera truly works, so you can take better photos using manual settings,You will know how to photograph in different scenarios like family portraits, landscapes, aerial, product, wildlife, and much more,You will know how to compose images beautifully with basic photography rules,You will know how to light your subjects with flash and natural lighting,You will know how to edit your photos like a professional,You will know how to make money with photography,You will know how to take better photos with your smart phones']"
Adobe Premiere Pro CC Masterclass: Video Editing in Premiere,"['Photography & Video,Video Design,Adobe Premiere']","[""Master Premiere Pro and be CONFIDENT Editing Your Own Videos,Edit an entire video from beginning to end, using professional and efficient techniques.,By the end of the course, you'll have edited your promo video with the supplied footage (video clips, photos, graphics, music, etc.), or your own footage!,Start a project with the right settings for any type of video, from any camera.,Export and save your videos for 4K & High Definition playback.,Edit your videos, and make them more dynamic with cutaway footage and photos.,Design clean and professional titles for you videos.,Add motion to your titles, photos, and videos... making them more visually interesting.,Color correct your video to fix issues with white balance and exposure.,Add a feeling to your video with color grading.,Apply visual effects such as stabilizing shaky video, removing grain, and making video more cinematic with overlays.,Edit green screen footage and, add backgrounds that actually look good.,Show less""]"
iPhone Photography | Take Professional Photos On Your iPhone,"['Photography & Video,Digital Photography,iPhone Photography']","['How to replicate professional digital photography with your iPhone.,How to take stunning photos by utilizing shot composition.,How to optimize iPhone settings for taking the best photos.,How to professionally edit photos with Lightroom (free) on your iPhone.,How to utilize surrounding light to propely light your subjects.,How/Why the best photographers tell stories in their photos.,How to take more impactful photos of people, landscapes, architecture, and more.']"
"Video Production Bootcamp: Videography, Cinematography+","['Photography & Video,Video Design,Video Production']","[""You'll create professional videos with the equipment you already have,You'll feel comfortable making your own videos from conception and production to editing and posting online.,Downloadable guides to help you with every section,You'll know what equipment we suggest for beginner video creators.,You'll know how to choose the right video to make with the best story.,You'll know how to shoot great video with any camera.,You'll know how to record better audio with a variety of microphones.,You'll know how to set up basic video lights, including using natural lighting for your videos.,You'll know the process of editing a video and how to make whatever you shoot more engaging.,You'll know how to post videos online and get the most engagement.""]"
Photography Fundamentals for Beginners: 1-Hour Crash Course,"['Photography & Video,Photography,Digital Photography']","[""You will learn how to use the manual settings on your camera to properly expose a photo.,You will learn basic composition rules that will automatically improve your photography.,You will learn what aperture is, and how to use it creatively.,You will learn what shutter speed is, and how to prevent common beginner mistakes.,You will learn what ISO is, and how to prevent 'noisy' photos.,You will learn about the different photo settings and resolutions.,You will understand the basic settings and rules that all pro photographers once learned.""]"
Video Editing in DaVinci Resolve 18/17: Beginner to Advanced,"['Photography & Video,Video Design,DaVinci Resolve']","['Mastering DaVinci Resolve for Video Editing: A comprehensive guide from novice to expert,Quick and Efficient Video Editing using the Cut Page,Implementing OpenFX Effects to Elevate your Videos,Accurate Color Correction Techniques in DaVinci Resolve,Multi-tool Color Grading for Professional-looking Videos,Infusing Your Videos with Motion Graphics,Navigating Nodes in DaVinci Resolve: From Serial to Layer, Parallel, and Beyond,Practical Usage of Curves, Color Wheels, Qualifiers, Power Windows, Scopes, and more,Complete a full-scale project: From Importing Media, through Video Editing and Color Correction, to Color Grading with Motion and ResolveFX']"
Adobe Lightroom Classic CC & CC: Photo Editing Masterclass,"['Photography & Video,Photography Tools,Adobe Lightroom']","['Edit photos the way you imagine, making them matter more!,Master the Lightroom workflow, just like a pro photographer,Improve photos, fixing any mistakes from your shoots,Understand the most important tools in Lightroom,Set up Lightroom to run efficiently,Make your photos look the same across all devices including mobile, desktop, tablets, etc.,Use Lightroom CC on desktop and mobile,Take raw images on your mobile and edit them on your desktop without cables or hard drives,Organize your photos so you never lose another image,Learn to store your images on the cloud,Backup your images so you never worry about losing pictures,Create a stunning portfolio site,Show less']"
Beginner Nikon Digital SLR (DSLR) Photography,"['Photography & Video,Digital Photography,Digital Camera Functionality']","[""You will learn how to see your images in a more sophisticated way, like a professional photographer.,You will add exposure to your photographer's tool belt and learn how it impacts many visual elements of your images.,You will learn how to adjust your aperture and why you would choose one aperture over another.,You will learn how to adjust your shutter speed and why you would choose one shutter speed over another.,You will learn how all of the modes (Auto, P, S, A and M) work and when you should be using each mode.,You will learn to recognize the difference between depth-of-field blur and motion blur.,You'll start spending more time observing and capturing beautiful moments around you, rather than staring down at your camera feeling confused.""]"
Adobe Photoshop Complete Mastery Course Beginner to Advanced,"['Photography & Video,Photography Tools,Photoshop']","[""Beginners will learn how to use Photoshop from scratch.,This is a very easy to follow course that goes at just the right pace so you don't miss any steps.,You'll learn all of the most important tools, plus how to edit photos, do touch-ups, whiten teeth, crop social media pics, change backgrounds and more.,Learn about the interface, including where the tools are and how to customize your workspace.""]"
Adobe Lightroom CC Photo Editing: Your Lightroom Masterclass,"['Photography & Video,Photography Tools,Adobe Lightroom']","['You will be able to make your photos look better than ever!,Master the Lightroom editing workflow just like the pros,Fix basic issues like exposure, white balance and crop,Organize and be able to easily find photos in Lightroom,Edit just parts of your photo with brushes and filters,Use sharpening and noise reduction to make your photos look better,Use and create your own Lightroom presets to speed up your editing,Export high quality photos perfect for printing or posting online']"
